key,title,author,translation,chars,chapters,status,flags,note,opening
damascene-faith,An Exact Exposition of the Orthodox Faith,St. John of Damascus,NPNF · New Advent (public domain),74861,30,COMPLETE_LIKELY,,One work; Books I–III in the reader TOC (Fountain of Knowledge synthesis).,"Hilary had taken no part in the Synod held at Ancyra in the spring of a.d. 358, but he had been made acquainted with its decisions and even with the a"
gregory-nyssa-making-man,On the Making of Man,St. Gregory of Nyssa,NPNF · Public domain,75199,18,COMPLETE_LIKELY,,Cappadocian theology and anthropology.,"This work was intended to supplement and complete the Hexaëmeron of S. Basil, and presupposes an acquaintance with that treatise. The narrative of the"
athanasius-nicene,Defence of the Nicene Definition (De Decretis),St. Athanasius of Alexandria,NPNF · Public domain,75397,15,COMPLETE_LIKELY,,Why the Council confessed homoousios.,"1. Thou hast done well, in signifying to me the discussion you have had with the advocates of Arianism, among whom were certain of the friends of Euse"
anselm-cur-deus-homo,Cur Deus Homo (Why God Became Man),St. Anselm of Canterbury,"Sidney Norton Deane (1903, public domain)",78719,25,COMPLETE_LIKELY,,Anselm’s dialogue on the necessity of the Incarnation.,"CERTAIN brethren have often and earnestly entreated me to put in writing some thoughts that I had offered them in familiar conversation, regarding med"
bonaventure-itinerarium,Journey of the Mind into God (Itinerarium mentis in Deum),St. Bonaventure,Public-domain English (Franciscan tradition),84838,8,COMPLETE_LIKELY,,"The classic Franciscan ascent of the mind to God in seven stages, after the seraphic vision on Mount Alverna.",1. In the beginning I call upon the First Beginning whence all enlightenment flows as from the Father of Lights from Whom is every good gift and every
albert-cleaving,On Cleaving to God (De adhaerendo Deo),St. Albert the Great (traditionally attributed),John Richards (public domain; Wikisource),90487,16,COMPLETE_LIKELY,,Classic little treatise on union with God. Traditionally attributed to Albert. Source: Wikisource / John Richards translation.,".mw-parser-output .wst-header .wst-header-mainblock{border:1px solid var(--border-color-success,#ACA);background-color:var(--background-color-success-"
tertullian-prescription,The Prescription Against Heretics,Tertullian,ANF / New Advent (public domain),92741,44,COMPLETE_LIKELY,,Complete The Prescription Against Heretics. Source: Ante-Nicene Fathers via New Advent.,". Introductory. Heresies Must Exist, and Even Abound; They are a Probation to Faith."
jerome-viris,Lives of Illustrious Men (De Viris Illustribus),St. Jerome,Ernest Cushing Richardson / NPNF · Public domain (via New Advent),93045,19,COMPLETE_LIKELY,,Complete catalogue of Christian writers. Public-domain NPNF translation.,"You have urged me, Dexter, to follow the example of Tranquillus in giving a systematic account of ecclesiastical writers, and to do for our writers wh"
tertullian-flesh,On the Flesh of Christ,Tertullian,ANF / New Advent (public domain),93375,26,COMPLETE_LIKELY,,Complete On the Flesh of Christ. Source: Ante-Nicene Fathers via New Advent.,CHURCH FATHERS: On the Flesh of Christ (Tertullian)
augustine-grace-free-will,On Grace and Free Will,St. Augustine of Hippo,NPNF · New Advent (public domain),107110,16,COMPLETE_LIKELY,,Grace does not destroy free will but establishes it.,"Extract from Augustine's Retractions (Book II, Chapter 66): There are some persons who suppose that the freedom of the will is denied whenever God's g"
justin-first-apology,First Apology,St. Justin Martyr,Marcus Dods / ANF · New Advent (public domain),113779,67,COMPLETE_LIKELY,,Complete First Apology in traditional chapter divisions. Source: Ante-Nicene Fathers via New Advent.,"To the Emperor Titus Ælius Adrianus Antoninus Pius Augustus Cæsar , and to his son Verissimus the Philosopher, and to Lucius the Philosopher, the natu"
irenaeus-apostolic-preaching,Demonstration of the Apostolic Preaching,St. Irenaeus of Lyons,"J. Armitage Robinson, 1920 (public domain)",115978,19,COMPLETE_LIKELY,,"Full Demonstration (Proof) of the Apostolic Preaching, from the Armenian.","Knowing, my beloved Marcianus, your desire to walk in godliness, which alone leads man to life eternal, I rejoice with you and make my prayer that you"
irenaeus-recapitulation,Against Heresies — Recapitulation (Books III–V),St. Irenaeus of Lyons,ANF / New Advent (public domain),126743,11,COMPLETE_LIKELY,,"Key chapters on the apostolic faith, the Word made flesh, and recapitulation in Christ.","The apostles did not commence to preach the Gospel, or to place anything on record until they were endowed with the gifts and power of the Holy Spirit"
athanasius-antony,Life of Antony,St. Athanasius of Alexandria,H. Ellershaw / NPNF · Public domain (via New Advent),129480,16,COMPLETE_LIKELY,,Complete Life of Antony. Public-domain NPNF translation.,Athanasius the bishop to the brethren in foreign parts.
cyprian-lapsed,On the Lapsed,St. Cyprian of Carthage,ANF · New Advent (public domain),132710,13,COMPLETE_LIKELY,,On those who denied under persecution and the discipline of repentance.,"Modesty, the flower of manners, the honour of our bodies, the grace of the sexes, the integrity of the blood, the guarantee of our race, the basis of "
gregory-nyssa-soul,On the Soul and the Resurrection,St. Gregory of Nyssa,NPNF · Public domain,135502,18,COMPLETE_LIKELY,,Cappadocian theology and anthropology.,"Basil, great among the saints, had departed from this life to God; and the impulse to mourn for him was shared by all the churches. But his sister the"
athanasius-incarnation,On the Incarnation of the Word,St. Athanasius of Alexandria,NPNF · New Advent (public domain),138401,21,COMPLETE_LIKELY,,Complete treatise structure in TOC sections. He was made man that we might be made God.,Whereas in what precedes we have drawn out — choosing a few points from among many — a sufficient account of the error of the heathen concerning idols
tertullian-praxeas,Against Praxeas,Tertullian,ANF / New Advent (public domain),141424,31,COMPLETE_LIKELY,,Complete Against Praxeas. Source: Ante-Nicene Fathers via New Advent.,. Satan's Wiles Against the Truth. How They Take the Form of the Praxean Heresy. Account of the Publication of This Heresy
augustine-nature-grace,On Nature and Grace,St. Augustine of Hippo,NPNF · New Advent (public domain),146024,22,COMPLETE_LIKELY,,Reply to Pelagius on nature: wounded nature needs the Physician.,"Extract from Augustine's Retractions (Book II, Chapter 42): At that time also there came into my hands a certain book of Pelagius', in which he defend"
augustine-spirit-letter,On the Spirit and the Letter,St. Augustine of Hippo,ANF/NPNF · Public domain,155139,17,COMPLETE_LIKELY,,Hosted in reader.,"Extract from Augustine's Retractions (Book II, Chapter 37): The person to whom I had addressed the three books entitled De Peccatorum Meritis et Remis"
chrysostom-priesthood,On the Priesthood (complete),St. John Chrysostom,W. R. W. Stephens / NPNF · Public domain (via New Advent),167866,21,COMPLETE_LIKELY,,Complete dialogue in four books. Public-domain NPNF translation.,"1. I had many genuine and true friends, men who understood the laws of friendship, and faithfully observed them; but out of this large number there wa"
anselm-monologion,Monologion,St. Anselm of Canterbury,"Sidney Norton Deane (1903, public domain)",168089,71,COMPLETE_LIKELY,,Monologion from Deane’s Open Court edition — on the being of God.,"There is a being which is best, and greatest, and highest of all existing beings."
augustine-trinity,On the Trinity,St. Augustine of Hippo,NPNF · New Advent (public domain),171960,20,COMPLETE_LIKELY,,One work; navigate by Book in the TOC. Faith seeking understanding of the triune God.,"The Enchiridion, or Handbook, is addressed to Laurentius, in answer to his questions. This person is otherwise unknown. One manuscript calls him a dea"
augustine-enchiridion,"Enchiridion on Faith, Hope, and Love",St. Augustine of Hippo,J. F. Shaw / NPNF · Public domain (via New Advent),172168,21,COMPLETE_LIKELY,,Complete handbook. Public-domain NPNF translation.,"The Enchiridion, or Handbook, is addressed to Laurentius, in answer to his questions. This person is otherwise unknown. One manuscript calls him a dea"
tertullian-apology,The Apology,Tertullian,ANF / New Advent (public domain),181757,48,COMPLETE_LIKELY,,Complete The Apology. Source: Ante-Nicene Fathers via New Advent.,"Rulers of the Roman Empire, if, seated for the administration of justice on your lofty tribunal, under the gaze of every eye, and occupying there all "
origen-prayer,On Prayer,Origen of Alexandria,William A. Curtis / CCEL (public domain tradition),184316,20,COMPLETE_LIKELY,,Origen’s treatise On Prayer. Source: CCEL. Replaces prior mis-attributed text.,"For what or who is man that he shall know the counsel of God, or who shall conceive what that Lord willeth? Since the thoughts of mortals are weakling"
basil-holy-spirit,On the Holy Spirit,St. Basil the Great,Blomfield Jackson / NPNF · Public domain (via New Advent),195797,27,COMPLETE_LIKELY,,Complete treatise. Public-domain NPNF translation.,Prefatory remarks on the need of exact investigation of the most minute portions of theology.
gregory-nazianzen-theological-orations,Theological Orations,St. Gregory of Nazianzus,NPNF · CCEL (public domain),214116,41,COMPLETE_LIKELY,,Orations 28–31 in one reader entry; navigate by Oration in the TOC.,"I. In the former Discourse we laid down clearly with respect to the Theologian, both what sort of character he ought to bear, and on what kind of subj"
tertullian-resurrection,On the Resurrection of the Flesh,Tertullian,ANF / New Advent (public domain),229781,62,COMPLETE_LIKELY,,Complete On the Resurrection of the Flesh. Source: Ante-Nicene Fathers via New Advent.,CHURCH FATHERS: On the Resurrection of the Flesh (Tertullian)
john-cross-dark-night,The Dark Night of the Soul,St. John of the Cross,"David Lewis; revised by Benedict Zimmerman, O.C.D. (1908, public domain)",237700,39,COMPLETE_LIKELY,,Complete Dark Night. OCR cleaned.,"That light guided me More surely than the noonday sun To the place where He was waiting for me. Whom I knew well,"
basil-hexaemeron,Hexaemeron (The Six Days of Creation),St. Basil the Great,Blomfield Jackson / NPNF · Public domain,238860,9,COMPLETE_LIKELY,,"Nine homilies on Genesis 1. One reader, homily-by-homily table of contents.",1. It is right that any one beginning to narrate the formation of the world should begin with the good order which reigns in visible things. I am abou
scotus-primo-principio,A Treatise on God as First Principle (De Primo Principio),Bl. John Duns Scotus,English after Roche/Wolter (Franciscan Institute; cited),247056,5,COMPLETE_LIKELY,,De Primo Principio. Source: English tradition of Evan Roche & Allan B. Wolter (Franciscan Institute Publications). Cited for study.,"Majesty and elevate our minds to the contemplation of Him. O Lord our God, when Moses thy servant asked Thee, the most true teacher, about thy Name, s"
tertullian-soul,A Treatise on the Soul,Tertullian,ANF / New Advent (public domain),257528,56,COMPLETE_LIKELY,,Complete A Treatise on the Soul. Source: Ante-Nicene Fathers via New Advent.,. It is Not to the Philosophers that We Resort for Information About the Soul But to God.
cyril-incarnation,That Christ is One (Quod unus sit Christus),St. Cyril of Alexandria,"P. E. Pusey (Library of the Fathers, public domain)",264123,25,COMPLETE_LIKELY,,"Full dialogue That Christ is One. Source: P. E. Pusey, Library of the Fathers (Oxford). OCR cleaned.",THAT CHRIST IS ONE by way of dispute with Hermias Wrong thought of Christ either before the Incarnation or when Incarnate. Nestorius. If Virgin not Mo
gregory-nyssa-catechism,The Great Catechism (Catechetical Oration),St. Gregory of Nyssa,"William Moore (NPNF Series II, Vol. 5)",273010,38,COMPLETE_LIKELY,,"Full text of the Great Catechetical Oration — continuous treatise, not a summary of arguments. Source: NPNF2-05 (Moore).","The presiding ministers of the ""mystery of godliness"" have need of a system in their instructions, in order that the Church may be replenished by the "
suarez-selections,"Selections on Laws, Faith, and the Theological Virtues",Francisco Suárez,Gwladys L. Williams et al. — Liberty Fund / Carnegie edition (cited),273707,10,COMPLETE_LIKELY,LABELED_PARTIAL,"Selections from De Legibus, Defensio Fidei, and On the Theological Virtues. Source: Liberty Fund Online Library of Liberty edition of Selections from Three Work","TO THE MOST ILLUSTRIOUS AND MOST REVEREND LORD, D. AFONSO FURTADO À MENDOÇA, BISHOP OF EJEA DE LOS CAVALEIROS, ETC. When I was about to publish my boo"
ambrose-holy-spirit,On the Holy Spirit,St. Ambrose of Milan,NPNF / New Advent (public domain),307447,3,COMPLETE_LIKELY,,Three books On the Holy Spirit (De Spiritu Sancto).,"Introduction The three books on the Holy Spirit are, as St. Ambrose says himself, a sequel to those on the Faith, and the two treatises together have "
athanasius-arians,Orations Against the Arians,St. Athanasius of Alexandria,NPNF · New Advent (public domain),321757,50,COMPLETE_LIKELY,,Orations I–II in TOC. The Son is proper to the Father’s essence.,"1. Of all other heresies which have departed from the truth it is acknowledged that they have but devised a madness, and their irreligiousness has lon"
jerome-jovinian,Against Jovinianus,St. Jerome,W.H. Fremantle / NPNF · Public domain,341513,24,COMPLETE_LIKELY,,"Two books against Jovinian. One reader, book table of contents.","Jovinianus, concerning whom we know little more than is to be found in the two following books, had published at Rome a Latin treatise containing all,"
justin-trypho,Dialogue with Trypho,St. Justin Martyr,Marcus Dods / George Reith · ANF · Public domain,362261,9,COMPLETE_LIKELY,COARSE_STRUCTURE,"Complete dialogue in nine sections. One reader, section table of contents.","While I was going about one morning in the walks of the Xystus, a certain man [Trypho], with others in his company, met me."
bellarmine-ascent,The Mind's Ascent to God by a Ladder of Created Things,St. Robert Bellarmine,Monialis (1925 English; public-domain tradition / archive scan),392348,21,COMPLETE_LIKELY,,Bellarmine’s retreat treatise: the soul ascends to God by steps of created things.,The number of created things and the infinite perfection of the Creator - - - . é
newman-apologia,Apologia pro Vita Sua,St. John Henry Newman,Public domain (Project Gutenberg #22088),394073,75,COMPLETE_LIKELY,,Substantial public-domain text of the Apologia from Project Gutenberg.,"""Commit thy way to the Lord and trust in Him, and He will do it. And He will bring forth thy justice as the light, and thy judgment as the noon-day."""
ambrose-duties,On the Duties of the Clergy (complete),St. Ambrose of Milan,H. de Romestin / NPNF · Public domain (via New Advent),401293,111,COMPLETE_LIKELY,,Complete three books. Public-domain NPNF translation.,"St. Ambrose, esteeming very highly the dignity of the ministerial office, was most desirous that the clergy of his diocese should live worthily of the"
teresa-interior-castle,The Interior Castle (The Mansions),St. Teresa of Ávila,"Benedictines of Stanbrook; ed. Benedict Zimmerman, O.C.D. (1921, public domain)",402613,26,COMPLETE_LIKELY,,Complete Interior Castle. Stanbrook/Zimmerman 1921. Synopsis/outline lines removed; real prose retained.,"1. While I was begging our Lord to-day to speak for me, since I knew not what to say nor how to commence this work which obedience has laid upon me, a"
leo-sermons,Sermons,St. Leo the Great,NPNF / New Advent (public domain),407815,48,COMPLETE_LIKELY,,Major sermons of Pope St. Leo the Great from the NPNF collection.,"Let my mouth speak the praise of the Lord , and my breath and spirit, my flesh and tongue bless His holy Name. For it is a sign, not of a modest, but "
augustine-anti-pelagian,Anti-Pelagian Writings,St. Augustine of Hippo,NPNF · Public domain,408273,55,COMPLETE_LIKELY,,"Spirit and Letter · Grace and Free Will · Nature and Grace — one URL, parts in TOC.","Extract from Augustine's Retractions (Book II, Chapter 37): The person to whom I had addressed the three books entitled De Peccatorum Meritis et Remis"
john-cross-ascent,Ascent of Mount Carmel,St. John of the Cross,"David Lewis (public domain, c. 1906)",547717,84,COMPLETE_LIKELY,,Complete Ascent — active night of sense and spirit. OCR cleaned.,"HIS stanza describes the happy state of the soul at its departure from all things, from the desires and imperfections to which our sensual nature is s"
augustine-confessions,Confessions,St. Augustine of Hippo,E. B. Pusey · Project Gutenberg (public domain),599378,117,COMPLETE_LIKELY,,Thirteen books; navigate by Book in the TOC.,"Great art Thou, O Lord, and greatly to be praised; great is Thy power, and Thy wisdom infinite. And Thee would man praise; man, but a particle of Thy "
cyprian-writings,Treatises,St. Cyprian of Carthage,Ante-Nicene Fathers / New Advent (public domain),615953,81,COMPLETE_LIKELY,,"Cyprian’s treatises from the ANF corpus (On the Unity of the Church, On the Lapsed, etc.).","1. Caecilius Cyprian to Donatus sends, greeting. You rightly remind me, dearest Donatus for I not only remember my promise, but I confess that this is"
bernard-song-sermons,Sermons on the Song of Songs (Sermons 1–43),St. Bernard of Clairvaux,English text via The Matheson Trust edition (cited),677282,45,COMPLETE_LIKELY,,Sermons 1–43 on the Song of Songs. Source: Matheson Trust PDF compilation of Bernard’s Sermones super Cantica. Cited for study on Melius Illuminare.,"The instructions that I address to you, my brothers, will differ from those I should deliver to people in the world, at least the manner will be diffe"
origen-principles,On First Principles (De Principiis / Peri Archon),Origen of Alexandria,Frederick Crombie — Ante-Nicene Fathers (public domain),686365,29,COMPLETE_LIKELY,,Four books as preserved in Rufinus’s Latin; ANF English. Complete hosted text of the De Principiis.,"1. All who believe and are assured that grace and truth were obtained through Jesus Christ , and who know Christ to be the truth , agreeably to His ow"
john-cross-writings,Ascent of Mount Carmel & Dark Night of the Soul,St. John of the Cross,David Lewis (public domain),785911,123,COMPLETE_LIKELY,,Combined volume (OCR cleaned). Prefer separate volumes for navigation.,"HIS stanza describes the happy state of the soul at its departure from all things, from the desires and imperfections to which our sensual nature is s"
basil-letters,Letters,St. Basil the Great,NPNF / New Advent,912793,325,COMPLETE_LIKELY,,Basil’s letters from the NPNF corpus (New Advent). Large collection approaching the full NPNF set.,"Much distressed as I was by the flouts of what is called fortune, who always seems to be hindering my meeting you, I was wonderfully cheered and comfo"
teresa-life,The Life of Teresa of Jesus,St. Teresa of Ávila,"David Lewis (public domain, Project Gutenberg)",944329,40,COMPLETE_LIKELY,,Autobiography of St. Teresa of Ávila.,"1. I had a father and mother, who were devout and feared God. Our Lord also helped me with His grace. All this would have been enough to make me good,"
gregory-nyssa-writings,Against Eunomius & The Great Catechism,St. Gregory of Nyssa,NPNF / New Advent (public domain),1044070,13,COMPLETE_LIKELY,,Against Eunomius (major dogmatic work) and the Great Catechism.,"Having with difficulty obtained a little leisure, I have been able to recover from bodily fatigue on my return from Armenia, and to collect the sheets"
irenaeus-heresies,Against Heresies (Adversus Haereses),St. Irenaeus of Lyons,Alexander Roberts & William Rambaut — Ante-Nicene Fathers (public domain),1219074,173,COMPLETE_LIKELY,,Complete five books. Detection and overthrow of knowledge falsely so called.,"1. Inasmuch as certain men have set the truth aside, and bring in lying words and vain genealogies, which, as the apostle says, minister questions rat"
origen-celsus,Against Celsus (Contra Celsum),Origen of Alexandria,Frederick Crombie — Ante-Nicene Fathers (public domain),1313534,620,COMPLETE_LIKELY,,Complete eight books Against Celsus. Source: ANF via New Advent.,"1. When false witnesses testified against our Lord and Saviour Jesus Christ , He remained silent; and when unfounded charges were brought against Him,"
augustine-city-of-god,The City of God,St. Augustine of Hippo,Marcus Dods (Project Gutenberg / public domain),2463293,662,COMPLETE_LIKELY,,"Complete City of God, 22 books. Source: Project Gutenberg eBooks 45304 & 45305 (Dods). Real chapter text, not New Advent summaries.","For to this earthly city belong the enemies against whom I have to defend the city of God. Many of them, indeed, being reclaimed from their ungodly er"
chrysostom-writings,On the Priesthood & Homilies on Matthew,St. John Chrysostom,NPNF series — New Advent edition (public domain),3051811,111,COMPLETE_LIKELY,,Complete On the Priesthood and the Homilies on Matthew (NPNF). Source: New Advent / Ante-Nicene & Nicene Fathers.,"1. You have heard the Apostolic voice, that trumpet from heaven, that spiritual lyre! For even as a trumpet sounding a fearful and warlike note, it bo"
leo-nativity,Sermon on the Nativity of the Lord,St. Leo the Great,NPNF / New Advent (public domain),5639,1,COMPLETE_SHORT,,Leo's first Nativity sermon (Sermon 21).,"I. All share in the joy of Christmas Our Saviour, dearly-beloved, was born today: let us be glad. For there is no proper place for sadness, when we ke"
ignatius-magnesians,Epistle to the Magnesians,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,7666,14,COMPLETE_SHORT,,On unity under the bishop and the reality of Christ’s flesh.,"Ignatius, who is also called Theophorus, to the [Church] blessed in the grace of God the Father, in Jesus Christ our Saviour, in whom I salute the Chu"
ignatius-trallians,Epistle to the Trallians,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,7770,14,COMPLETE_SHORT,,"Apostolic Father; unity, episcopacy, and the real passion of Christ.","Ignatius, who is also called Theophorus, to the holy Church which is at Tralles, in Asia, beloved of God, the Father of Jesus Christ, elect, and worth"
ignatius-philadelphians,Epistle to the Philadelphians,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,9116,11,COMPLETE_SHORT,,"Apostolic Father; unity, episcopacy, and the real passion of Christ.","Ignatius, who is also called Theophorus, to the Church which has obtained mercy, through the majesty of the Most High Father, and Jesus Christ, His on"
ignatius-romans,Epistle to the Romans,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,9117,11,COMPLETE_SHORT,,Shorter Greek recension. Full public-domain text hosted on Melius Illuminare.,"Ignatius, who is also called Theophorus, to the Church which has obtained mercy, through the majesty of the Most High Father, and Jesus Christ, His on"
ignatius-smyrnaeans,Epistle to the Smyrnaeans,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,9596,14,COMPLETE_SHORT,,Shorter Greek recension. Full public-domain text hosted on Melius Illuminare.,"Ignatius, who is also called Theophorus, to the Church of God the Father, and of the beloved Jesus Christ, which has through mercy obtained every kind"
ignatius-polycarp,Epistle to Polycarp,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,9690,14,COMPLETE_SHORT,,"Apostolic Father; unity, episcopacy, and the real passion of Christ.","Ignatius, who is also called Theophorus, to the Church of God the Father, and of the beloved Jesus Christ, which has through mercy obtained every kind"
polycarp-philippians,Letter to the Philippians,St. Polycarp of Smyrna,ANF · Public domain,13015,8,COMPLETE_SHORT,,"Apostolic exhortation to faith, endurance, and orthodoxy.","Polycarp, and the presbyters with him, to the Church of God sojourning at Philippi: Mercy to you, and peace from God Almighty, and from the Lord Jesus"
ignatius-ephesians,Epistle to the Ephesians,St. Ignatius of Antioch,Roberts-Donaldson (ANF) · Public domain,14650,22,COMPLETE_SHORT,,Shorter Greek recension. Full public-domain text hosted on Melius Illuminare.,"Ignatius, who is also called Theophorus, to the Church which is at Ephesus, in Asia, deservedly most happy, being blessed in the greatness and fulness"
polycarp-martyrdom,Martyrdom of Polycarp,Church of Smyrna (tradition),Public domain,19789,11,COMPLETE_SHORT,,Public domain.,"The Church of God which sojourns at Smyrna, to the Church of God sojourning in Philomelium, and to all the congregations of the Holy and Catholic Chur"
origen-martyrdom,Exhortation to Martyrdom,Origen of Alexandria,ANF · New Advent (public domain),42478,15,INCOMPLETE,LIKELY_INCOMPLETE,Pastoral treatise on confessing Christ under threat.,"Written about A.D. 240. Our author seems to have been a North-African bishop, of whom little is known save what we learn from his own writings. He has"
cyprian-alms,On Works and Alms,St. Cyprian of Carthage,ANF · Public domain,19038,4,LIKELY_OK,,Pastoral and apologetic treatises.,Argument. — The Writer First of All Treats Against Those Who Endeavoured to Defend the Public Exhibitions of the Heathens by Scriptural Authority; And
cyprian-demetrian,To Demetrian,St. Cyprian of Carthage,ANF · Public domain,19655,12,LIKELY_OK,,Pastoral and apologetic treatises.,Concerning the Baptism of Heretics. The Judgment of Eighty-Seven Bishops on the Baptism of Heretics.
irenaeus-fragments,Fragments,St. Irenaeus of Lyons,ANF · Public domain,761,3,PARTIAL,VERY_THIN,Surviving fragments of Irenaeus.,"The Church, though dispersed throughout the whole world, carefully preserves what she has received from the apostles and their disciples: one God, the"
